height,timestamp,difficulty,delta_t
837984,1712414827,83126997340024.61,
837985,1712416930,83126997340024.61,2103.0
837986,1712416981,83126997340024.61,51.0
837987,1712419250,83126997340024.61,2269.0
837988,1712419753,83126997340024.61,503.0
837989,1712419940,83126997340024.61,187.0
837990,1712420980,83126997340024.61,1040.0
837991,1712421353,83126997340024.61,373.0
837992,1712421743,83126997340024.61,390.0
837993,1712422028,83126997340024.61,285.0
837994,1712422309,83126997340024.61,281.0
837995,1712422910,83126997340024.61,601.0
837996,1712423315,83126997340024.61,405.0
837997,1712423484,83126997340024.61,169.0
837998,1712423609,83126997340024.61,125.0
837999,1712423860,83126997340024.61,251.0
838000,1712424339,83126997340024.61,479.0
838001,1712424499,83126997340024.61,160.0
838002,1712424814,83126997340024.61,315.0
838003,1712425058,83126997340024.61,244.0
838004,1712425788,83126997340024.61,730.0
838005,1712426222,83126997340024.61,434.0
838006,1712426437,83126997340024.61,215.0
838007,1712426629,83126997340024.61,192.0
838008,1712427951,83126997340024.61,1322.0
838009,1712428103,83126997340024.61,152.0
838010,1712428192,83126997340024.61,89.0
838011,1712428576,83126997340024.61,384.0
838012,1712429115,83126997340024.61,539.0
838013,1712429332,83126997340024.61,217.0
838014,1712430001,83126997340024.61,669.0
838015,1712430108,83126997340024.61,107.0
838016,1712430831,83126997340024.61,723.0
838017,1712431824,83126997340024.61,993.0
838018,1712432349,83126997340024.61,525.0
838019,1712432423,83126997340024.61,74.0
838020,1712432599,83126997340024.61,176.0
838021,1712432766,83126997340024.61,167.0
838022,1712433234,83126997340024.61,468.0
838023,1712433295,83126997340024.61,61.0
838024,1712433306,83126997340024.61,11.0
838025,1712434269,83126997340024.61,963.0
838026,1712434698,83126997340024.61,429.0
838027,1712434762,83126997340024.61,64.0
838028,1712437058,83126997340024.61,2296.0
838029,1712437491,83126997340024.61,433.0
838030,1712437626,83126997340024.61,135.0
838031,1712437856,83126997340024.61,230.0
838032,1712438862,83126997340024.61,1006.0
838033,1712438877,83126997340024.61,15.0
838034,1712439280,83126997340024.61,403.0
838035,1712439617,83126997340024.61,337.0
838036,1712439701,83126997340024.61,84.0
838037,1712440662,83126997340024.61,961.0
838038,1712440927,83126997340024.61,265.0
838039,1712441734,83126997340024.61,807.0
838040,1712442665,83126997340024.61,931.0
838041,1712443725,83126997340024.61,1060.0
838042,1712445155,83126997340024.61,1430.0
838043,1712446132,83126997340024.61,977.0
838044,1712447237,83126997340024.61,1105.0
838045,1712447604,83126997340024.61,367.0
838046,1712448764,83126997340024.61,1160.0
838047,1712449959,83126997340024.61,1195.0
838048,1712450269,83126997340024.61,310.0
838049,1712450720,83126997340024.61,451.0
838050,1712452164,83126997340024.61,1444.0
838051,1712452428,83126997340024.61,264.0
838052,1712453676,83126997340024.61,1248.0
838053,1712454024,83126997340024.61,348.0
838054,1712454385,83126997340024.61,361.0
838055,1712455272,83126997340024.61,887.0
838056,1712456116,83126997340024.61,844.0
838057,1712456671,83126997340024.61,555.0
838058,1712456717,83126997340024.61,46.0
838059,1712457649,83126997340024.61,932.0
838060,1712457942,83126997340024.61,293.0
838061,1712457995,83126997340024.61,53.0
838062,1712458719,83126997340024.61,724.0
838063,1712459153,83126997340024.61,434.0
838064,1712462322,83126997340024.61,3169.0
838065,1712462727,83126997340024.61,405.0
838066,1712463448,83126997340024.61,721.0
838067,1712463595,83126997340024.61,147.0
838068,1712463682,83126997340024.61,87.0
838069,1712463743,83126997340024.61,61.0
838070,1712463951,83126997340024.61,208.0
838071,1712464188,83126997340024.61,237.0
838072,1712464765,83126997340024.61,577.0
838073,1712465274,83126997340024.61,509.0
838074,1712465355,83126997340024.61,81.0
838075,1712465820,83126997340024.61,465.0
838076,1712466042,83126997340024.61,222.0
838077,1712466394,83126997340024.61,352.0
838078,1712466471,83126997340024.61,77.0
838079,1712468504,83126997340024.61,2033.0
838080,1712468977,83126997340024.61,473.0
838081,1712469936,83126997340024.61,959.0
838082,1712470632,83126997340024.61,696.0
838083,1712471041,83126997340024.61,409.0
838084,1712471176,83126997340024.61,135.0
838085,1712471437,83126997340024.61,261.0
838086,1712471518,83126997340024.61,81.0
838087,1712472391,83126997340024.61,873.0
838088,1712472813,83126997340024.61,422.0
838089,1712473533,83126997340024.61,720.0
838090,1712474141,83126997340024.61,608.0
838091,1712474668,83126997340024.61,527.0
838092,1712474675,83126997340024.61,7.0
838093,1712475109,83126997340024.61,434.0
838094,1712475582,83126997340024.61,473.0
838095,1712476125,83126997340024.61,543.0
838096,1712476787,83126997340024.61,662.0
838097,1712476818,83126997340024.61,31.0
838098,1712476969,83126997340024.61,151.0
838099,1712477546,83126997340024.61,577.0
838100,1712477901,83126997340024.61,355.0
838101,1712478205,83126997340024.61,304.0
838102,1712478467,83126997340024.61,262.0
838103,1712479313,83126997340024.61,846.0
838104,1712479377,83126997340024.61,64.0
838105,1712480021,83126997340024.61,644.0
838106,1712480502,83126997340024.61,481.0
838107,1712480617,83126997340024.61,115.0
838108,1712480647,83126997340024.61,30.0
838109,1712481029,83126997340024.61,382.0
838110,1712481276,83126997340024.61,247.0
838111,1712482309,83126997340024.61,1033.0
838112,1712482473,83126997340024.61,164.0
838113,1712482617,83126997340024.61,144.0
838114,1712482941,83126997340024.61,324.0
838115,1712483035,83126997340024.61,94.0
838116,1712483647,83126997340024.61,612.0
838117,1712483696,83126997340024.61,49.0
838118,1712484072,83126997340024.61,376.0
838119,1712484999,83126997340024.61,927.0
838120,1712485075,83126997340024.61,76.0
838121,1712485811,83126997340024.61,736.0
838122,1712486004,83126997340024.61,193.0
838123,1712486445,83126997340024.61,441.0
838124,1712488020,83126997340024.61,1575.0
838125,1712488488,83126997340024.61,468.0
838126,1712488607,83126997340024.61,119.0
838127,1712489528,83126997340024.61,921.0
838128,1712490294,83126997340024.61,766.0
838129,1712490344,83126997340024.61,50.0
838130,1712490604,83126997340024.61,260.0
838131,1712491263,83126997340024.61,659.0
838132,1712491266,83126997340024.61,3.0
838133,1712491444,83126997340024.61,178.0
838134,1712491643,83126997340024.61,199.0
838135,1712491726,83126997340024.61,83.0
838136,1712491858,83126997340024.61,132.0
838137,1712492657,83126997340024.61,799.0
838138,1712493780,83126997340024.61,1123.0
838139,1712494766,83126997340024.61,986.0
838140,1712495009,83126997340024.61,243.0
838141,1712495074,83126997340024.61,65.0
838142,1712495958,83126997340024.61,884.0
838143,1712496292,83126997340024.61,334.0
838144,1712496609,83126997340024.61,317.0
838145,1712496684,83126997340024.61,75.0
838146,1712497894,83126997340024.61,1210.0
838147,1712497963,83126997340024.61,69.0
838148,1712499404,83126997340024.61,1441.0
838149,1712499491,83126997340024.61,87.0
838150,1712500437,83126997340024.61,946.0
838151,1712500712,83126997340024.61,275.0
838152,1712501273,83126997340024.61,561.0
838153,1712501869,83126997340024.61,596.0
838154,1712502412,83126997340024.61,543.0
838155,1712502700,83126997340024.61,288.0
838156,1712503047,83126997340024.61,347.0
838157,1712505159,83126997340024.61,2112.0
838158,1712506750,83126997340024.61,1591.0
838159,1712507617,83126997340024.61,867.0
838160,1712508118,83126997340024.61,501.0
838161,1712508255,83126997340024.61,137.0
838162,1712508429,83126997340024.61,174.0
838163,1712509568,83126997340024.61,1139.0
838164,1712510491,83126997340024.61,923.0
838165,1712511382,83126997340024.61,891.0
838166,1712511900,83126997340024.61,518.0
838167,1712512096,83126997340024.61,196.0
838168,1712512557,83126997340024.61,461.0
838169,1712513398,83126997340024.61,841.0
838170,1712513811,83126997340024.61,413.0
838171,1712514679,83126997340024.61,868.0
838172,1712514732,83126997340024.61,53.0
838173,1712514958,83126997340024.61,226.0
838174,1712515077,83126997340024.61,119.0
838175,1712515873,83126997340024.61,796.0
838176,1712517048,83126997340024.61,1175.0
838177,1712517104,83126997340024.61,56.0
838178,1712517122,83126997340024.61,18.0
838179,1712517222,83126997340024.61,100.0
838180,1712517333,83126997340024.61,111.0
838181,1712517786,83126997340024.61,453.0
838182,1712518295,83126997340024.61,509.0
838183,1712519536,83126997340024.61,1241.0
838184,1712519659,83126997340024.61,123.0
838185,1712520500,83126997340024.61,841.0
838186,1712520774,83126997340024.61,274.0
838187,1712520992,83126997340024.61,218.0
838188,1712521666,83126997340024.61,674.0
838189,1712521753,83126997340024.61,87.0
838190,1712523215,83126997340024.61,1462.0
838191,1712523524,83126997340024.61,309.0
838192,1712523838,83126997340024.61,314.0
838193,1712524054,83126997340024.61,216.0
838194,1712524598,83126997340024.61,544.0
838195,1712524977,83126997340024.61,379.0
838196,1712525040,83126997340024.61,63.0
838197,1712525147,83126997340024.61,107.0
838198,1712525657,83126997340024.61,510.0
838199,1712526609,83126997340024.61,952.0
838200,1712526868,83126997340024.61,259.0
838201,1712527596,83126997340024.61,728.0
838202,1712527995,83126997340024.61,399.0
838203,1712528979,83126997340024.61,984.0
838204,1712529135,83126997340024.61,156.0
838205,1712529178,83126997340024.61,43.0
838206,1712529503,83126997340024.61,325.0
838207,1712529601,83126997340024.61,98.0
838208,1712530519,83126997340024.61,918.0
838209,1712530828,83126997340024.61,309.0
838210,1712531194,83126997340024.61,366.0
