height,timestamp,difficulty,delta_t
628141,1588159478,15958652328578.42,78.0
628142,1588160604,15958652328578.42,1126.0
628143,1588161225,15958652328578.42,621.0
628144,1588162905,15958652328578.42,1680.0
628145,1588163061,15958652328578.42,156.0
628146,1588163205,15958652328578.42,144.0
628147,1588163712,15958652328578.42,507.0
628148,1588164100,15958652328578.42,388.0
628149,1588164098,15958652328578.42,0.0
628150,1588164764,15958652328578.42,666.0
628151,1588165032,15958652328578.42,268.0
628152,1588165824,15958652328578.42,792.0
628153,1588166696,15958652328578.42,872.0
628154,1588166785,15958652328578.42,89.0
628155,1588166796,15958652328578.42,11.0
628156,1588167214,15958652328578.42,418.0
628157,1588167826,15958652328578.42,612.0
628158,1588169723,15958652328578.42,1897.0
628159,1588169940,15958652328578.42,217.0
628160,1588170606,15958652328578.42,666.0
628161,1588172211,15958652328578.42,1605.0
628162,1588172594,15958652328578.42,383.0
628163,1588173273,15958652328578.42,679.0
628164,1588173875,15958652328578.42,602.0
628165,1588174128,15958652328578.42,253.0
628166,1588174543,15958652328578.42,415.0
628167,1588175197,15958652328578.42,654.0
628168,1588175575,15958652328578.42,378.0
628169,1588175834,15958652328578.42,259.0
628170,1588175850,15958652328578.42,16.0
628171,1588175890,15958652328578.42,40.0
628172,1588176357,15958652328578.42,467.0
628173,1588176969,15958652328578.42,612.0
628174,1588178208,15958652328578.42,1239.0
628175,1588178296,15958652328578.42,88.0
628176,1588178681,15958652328578.42,385.0
628177,1588178750,15958652328578.42,69.0
628178,1588179251,15958652328578.42,501.0
628179,1588179413,15958652328578.42,162.0
628180,1588179951,15958652328578.42,538.0
628181,1588181010,15958652328578.42,1059.0
628182,1588181043,15958652328578.42,33.0
628183,1588182513,15958652328578.42,1470.0
628184,1588183670,15958652328578.42,1157.0
628185,1588184643,15958652328578.42,973.0
628186,1588185391,15958652328578.42,748.0
628187,1588185621,15958652328578.42,230.0
628188,1588187201,15958652328578.42,1580.0
628189,1588187242,15958652328578.42,41.0
628190,1588187993,15958652328578.42,751.0
628191,1588188918,15958652328578.42,925.0
628192,1588191486,15958652328578.42,2568.0
628193,1588192067,15958652328578.42,581.0
628194,1588194051,15958652328578.42,1984.0
628195,1588194162,15958652328578.42,111.0
628196,1588194188,15958652328578.42,26.0
628197,1588194356,15958652328578.42,168.0
628198,1588195165,15958652328578.42,809.0
628199,1588195593,15958652328578.42,428.0
628200,1588195745,15958652328578.42,152.0
628201,1588198144,15958652328578.42,2399.0
628202,1588198761,15958652328578.42,617.0
628203,1588198897,15958652328578.42,136.0
628204,1588198979,15958652328578.42,82.0
628205,1588199357,15958652328578.42,378.0
628206,1588200861,15958652328578.42,1504.0
628207,1588201210,15958652328578.42,349.0
628208,1588201277,15958652328578.42,67.0
628209,1588202034,15958652328578.42,757.0
628210,1588202365,15958652328578.42,331.0
628211,1588202352,15958652328578.42,0.0
628212,1588202374,15958652328578.42,22.0
628213,1588204604,15958652328578.42,2230.0
628214,1588204639,15958652328578.42,35.0
628215,1588205588,15958652328578.42,949.0
628216,1588205945,15958652328578.42,357.0
628217,1588206382,15958652328578.42,437.0
628218,1588206677,15958652328578.42,295.0
628219,1588208613,15958652328578.42,1936.0
628220,1588208616,15958652328578.42,3.0
628221,1588210178,15958652328578.42,1562.0
628222,1588210244,15958652328578.42,66.0
628223,1588210612,15958652328578.42,368.0
628224,1588211491,15958652328578.42,879.0
628225,1588211662,15958652328578.42,171.0
628226,1588212250,15958652328578.42,588.0
628227,1588212744,15958652328578.42,494.0
628228,1588213737,15958652328578.42,993.0
628229,1588214534,15958652328578.42,797.0
628230,1588215078,15958652328578.42,544.0
628231,1588215722,15958652328578.42,644.0
628232,1588216102,15958652328578.42,380.0
628233,1588216170,15958652328578.42,68.0
628234,1588217497,15958652328578.42,1327.0
628235,1588217886,15958652328578.42,389.0
628236,1588219545,15958652328578.42,1659.0
628237,1588221309,15958652328578.42,1764.0
628238,1588222737,15958652328578.42,1428.0
628239,1588223262,15958652328578.42,525.0
628240,1588223349,15958652328578.42,87.0
628241,1588223935,15958652328578.42,586.0
628242,1588223949,15958652328578.42,14.0
628243,1588224266,15958652328578.42,317.0
628244,1588224482,15958652328578.42,216.0
628245,1588225253,15958652328578.42,771.0
628246,1588226524,15958652328578.42,1271.0
628247,1588227803,15958652328578.42,1279.0
628248,1588227900,15958652328578.42,97.0
628249,1588228007,15958652328578.42,107.0
628250,1588228097,15958652328578.42,90.0
628251,1588230801,15958652328578.42,2704.0
