height,timestamp,difficulty,delta_t
417984,1466897560,209453158595.381,
417985,1466899093,209453158595.381,1533.0
417986,1466899343,209453158595.381,250.0
417987,1466899609,209453158595.381,266.0
417988,1466900216,209453158595.381,607.0
417989,1466901551,209453158595.381,1335.0
417990,1466902688,209453158595.381,1137.0
417991,1466903466,209453158595.381,778.0
417992,1466904234,209453158595.381,768.0
417993,1466904481,209453158595.381,247.0
417994,1466904881,209453158595.381,400.0
417995,1466905025,209453158595.381,144.0
417996,1466905632,209453158595.381,607.0
417997,1466906529,209453158595.381,897.0
417998,1466906669,209453158595.381,140.0
417999,1466907730,209453158595.381,1061.0
418000,1466908720,209453158595.381,990.0
418001,1466909006,209453158595.381,286.0
418002,1466909803,209453158595.381,797.0
418003,1466909985,209453158595.381,182.0
418004,1466911138,209453158595.381,1153.0
418005,1466911451,209453158595.381,313.0
418006,1466911605,209453158595.381,154.0
418007,1466912767,209453158595.381,1162.0
418008,1466913054,209453158595.381,287.0
418009,1466913634,209453158595.381,580.0
418010,1466914225,209453158595.381,591.0
418011,1466914326,209453158595.38098,101.0
418012,1466914467,209453158595.381,141.0
418013,1466915395,209453158595.381,928.0
418014,1466916449,209453158595.381,1054.0
418015,1466916703,209453158595.381,254.0
418016,1466916833,209453158595.381,130.0
418017,1466917216,209453158595.381,383.0
418018,1466917634,209453158595.381,418.0
418019,1466917990,209453158595.381,356.0
418020,1466918009,209453158595.381,19.0
418021,1466918899,209453158595.381,890.0
418022,1466919533,209453158595.381,634.0
418023,1466921512,209453158595.381,1979.0
418024,1466922591,209453158595.381,1079.0
418025,1466924262,209453158595.381,1671.0
418026,1466924527,209453158595.381,265.0
418027,1466925170,209453158595.381,643.0
418028,1466926187,209453158595.381,1017.0
418029,1466926410,209453158595.381,223.0
418030,1466927858,209453158595.381,1448.0
418031,1466928096,209453158595.381,238.0
418032,1466928731,209453158595.381,635.0
418033,1466929929,209453158595.381,1198.0
418034,1466930473,209453158595.381,544.0
418035,1466930911,209453158595.381,438.0
418036,1466931147,209453158595.381,236.0
418037,1466931397,209453158595.381,250.0
418038,1466932492,209453158595.381,1095.0
418039,1466933318,209453158595.381,826.0
418040,1466935017,209453158595.381,1699.0
418041,1466935147,209453158595.381,130.0
418042,1466935284,209453158595.381,137.0
418043,1466936075,209453158595.381,791.0
418044,1466936418,209453158595.381,343.0
418045,1466937298,209453158595.381,880.0
418046,1466937407,209453158595.38098,109.0
418047,1466937461,209453158595.381,54.0
418048,1466937588,209453158595.381,127.0
418049,1466938267,209453158595.381,679.0
418050,1466938871,209453158595.381,604.0
418051,1466940321,209453158595.381,1450.0
418052,1466940488,209453158595.381,167.0
418053,1466940913,209453158595.381,425.0
418054,1466943047,209453158595.381,2134.0
418055,1466943180,209453158595.381,133.0
418056,1466943847,209453158595.381,667.0
418057,1466944683,209453158595.381,836.0
418058,1466945022,209453158595.381,339.0
418059,1466945807,209453158595.381,785.0
418060,1466946250,209453158595.381,443.0
418061,1466946395,209453158595.381,145.0
418062,1466946757,209453158595.381,362.0
418063,1466948395,209453158595.381,1638.0
418064,1466948780,209453158595.381,385.0
418065,1466949192,209453158595.381,412.0
418066,1466950160,209453158595.381,968.0
418067,1466950628,209453158595.381,468.0
418068,1466951387,209453158595.381,759.0
418069,1466951639,209453158595.381,252.0
418070,1466952126,209453158595.381,487.0
418071,1466953079,209453158595.381,953.0
418072,1466953299,209453158595.381,220.0
418073,1466953569,209453158595.381,270.0
418074,1466954008,209453158595.381,439.0
418075,1466954040,209453158595.381,32.0
418076,1466954221,209453158595.381,181.0
418077,1466954662,209453158595.381,441.0
418078,1466955066,209453158595.381,404.0
418079,1466955419,209453158595.381,353.0
418080,1466956158,209453158595.381,739.0
418081,1466956678,209453158595.381,520.0
418082,1466957201,209453158595.381,523.0
418083,1466957219,209453158595.381,18.0
