height,timestamp,difficulty,delta_t
208078,1353012516,3368767.1405329388,489.0
208079,1353012935,3368767.1405329388,419.0
208080,1353013000,3368767.1405329388,65.0
208081,1353013964,3368767.1405329388,964.0
208082,1353013869,3368767.140532939,0.0
208083,1353014472,3368767.140532939,603.0
208084,1353014596,3368767.140532939,124.0
208085,1353015511,3368767.1405329388,915.0
208086,1353015588,3368767.1405329388,77.0
208087,1353015643,3368767.1405329388,55.0
208088,1353017839,3368767.1405329388,2196.0
208089,1353018067,3368767.140532939,228.0
208090,1353018213,3368767.140532939,146.0
208091,1353018353,3368767.1405329388,140.0
208092,1353019655,3368767.140532939,1302.0
208093,1353019678,3368767.140532939,23.0
208094,1353021692,3368767.1405329388,2014.0
208095,1353022195,3368767.1405329388,503.0
208096,1353022015,3368767.1405329388,0.0
208097,1353022073,3368767.1405329388,58.0
208098,1353022502,3368767.1405329388,429.0
208099,1353022425,3368767.1405329388,0.0
208100,1353023459,3368767.140532939,1034.0
208101,1353023542,3368767.140532939,83.0
208102,1353024211,3368767.1405329388,669.0
208103,1353024089,3368767.1405329388,0.0
208104,1353025310,3368767.1405329388,1221.0
208105,1353025756,3368767.140532939,446.0
208106,1353026495,3368767.140532939,739.0
208107,1353027873,3368767.140532939,1378.0
208108,1353027674,3368767.1405329388,0.0
208109,1353028547,3368767.140532939,873.0
208110,1353029622,3368767.140532939,1075.0
208111,1353029747,3368767.140532939,125.0
208112,1353030159,3368767.1405329388,412.0
208113,1353030376,3368767.1405329388,217.0
208114,1353032805,3368767.1405329388,2429.0
208115,1353033293,3368767.1405329388,488.0
208116,1353033960,3368767.140532939,667.0
208117,1353034472,3368767.1405329388,512.0
208118,1353036206,3368767.1405329388,1734.0
208119,1353036888,3368767.140532939,682.0
208120,1353037196,3368767.1405329388,308.0
208121,1353038928,3368767.1405329388,1732.0
208122,1353039630,3368767.140532939,702.0
208123,1353039656,3368767.140532939,26.0
208124,1353040215,3368767.140532939,559.0
208125,1353041415,3368767.1405329388,1200.0
208126,1353042445,3368767.1405329388,1030.0
208127,1353042732,3368767.1405329388,287.0
208128,1353043105,3368767.1405329388,373.0
208129,1353043249,3368767.1405329388,144.0
208130,1353043536,3368767.140532939,287.0
208131,1353046088,3368767.1405329388,2552.0
208132,1353047718,3368767.140532939,1630.0
208133,1353049121,3368767.1405329388,1403.0
208134,1353049503,3368767.140532939,382.0
208135,1353049680,3368767.140532939,177.0
208136,1353049729,3368767.140532939,49.0
208137,1353049936,3368767.1405329388,207.0
208138,1353050151,3368767.1405329388,215.0
208139,1353050334,3368767.1405329388,183.0
208140,1353050683,3368767.140532939,349.0
208141,1353050752,3368767.1405329388,69.0
208142,1353051004,3368767.140532939,252.0
208143,1353051551,3368767.1405329388,547.0
208144,1353052447,3368767.140532939,896.0
208145,1353053025,3368767.1405329388,578.0
208146,1353053093,3368767.140532939,68.0
208147,1353053318,3368767.140532939,225.0
208148,1353053712,3368767.1405329388,394.0
208149,1353054577,3368767.1405329388,865.0
208150,1353055225,3368767.140532939,648.0
208151,1353055489,3368767.1405329388,264.0
208152,1353055529,3368767.140532939,40.0
208153,1353056655,3368767.1405329388,1126.0
